Simulation challenge 汇总（按 challenge_tags 聚合）
================================================================================

challenge          n_tasks  rag_成功率(mean±std) rag_feedback_成功率(mean±std) task_heuristic_成功率(mean±std) direct_llm_成功率(mean±std) fixed_成功率(mean±std)
--------------------------------------------------------------------------------
compliant          2        79.16%±1.18% 92.50%±1.17% 66.66%±11.79% 8.34%±2.35% 19.16%±1.18%
fragile            6        76.39%±4.27% 85.28%±9.09% 54.16%±12.15% 11.39%±4.99% 29.72%±16.07%
heavy              4        70.84%±4.19% 86.25%±9.85% 49.58%±13.83% 12.50%±4.41% 26.66%±11.05%
high_friction      2        79.16%±1.18% 92.50%±1.17% 66.66%±11.79% 8.34%±2.35% 19.16%±1.18%
high_speed         5        77.33%±3.25% 89.33%±7.13% 61.67%±11.49% 11.00%±4.80% 33.67%±20.36%
large              2        68.34%±4.72% 90.00%±0.00% 48.34%±23.57% 9.17%±1.18% 25.00%±18.85%
long_transfer      1        65.00%±0.00% 90.00%±0.00% 31.67%±0.00% 8.33%±0.00% 11.67%±0.00%
low_friction       4        75.42%±4.38% 87.08%±10.39% 59.17%±11.59% 13.75%±4.17% 37.91%±12.65%
precision          2        75.00%±0.00% 91.67%±0.00% 69.17%±3.54% 14.16%±1.18% 62.50%±10.61%
small              2        75.00%±0.00% 91.67%±0.00% 69.17%±3.54% 14.16%±1.18% 62.50%±10.61%
thin_wall          2        78.33%±4.72% 81.67%±7.07% 44.16%±5.89% 6.67%±2.35% 13.33%±2.35%
