Simulation challenge 汇总（按 challenge_tags 聚合）
================================================================================

challenge          n_tasks  rag_成功率(mean±std) rag_learned_成功率(mean±std) task_heuristic_成功率(mean±std) direct_llm_成功率(mean±std) fixed_成功率(mean±std)
--------------------------------------------------------------------------------
compliant          2        79.16%±1.18% 30.00%±14.14% 66.66%±11.79% 8.34%±2.35% 19.16%±1.18%
fragile            6        77.22%±4.17% 38.61%±12.54% 54.16%±12.15% 11.39%±4.99% 29.72%±16.07%
heavy              4        71.25%±5.67% 32.50%±15.25% 49.58%±13.83% 12.50%±4.41% 26.66%±11.05%
high_friction      2        79.16%±1.18% 30.00%±14.14% 66.66%±11.79% 8.34%±2.35% 19.16%±1.18%
high_speed         5        76.67%±4.25% 45.00%±6.35% 61.67%±11.49% 11.00%±4.80% 33.67%±20.36%
large              2        67.50%±5.90% 25.00%±14.14% 48.34%±23.57% 9.17%±1.18% 25.00%±18.85%
long_transfer      1        63.33%±0.00% 15.00%±0.00% 31.67%±0.00% 8.33%±0.00% 11.67%±0.00%
low_friction       4        77.50%±3.47% 43.75%±10.49% 59.17%±11.59% 13.75%±4.17% 37.91%±12.65%
precision          2        71.67%±7.07% 57.50%±12.97% 69.17%±3.54% 14.16%±1.18% 62.50%±10.61%
small              2        71.67%±7.07% 57.50%±12.97% 69.17%±3.54% 14.16%±1.18% 62.50%±10.61%
thin_wall          2        76.67%±7.07% 28.33%±11.79% 44.16%±5.89% 6.67%±2.35% 13.33%±2.35%
